"Username","control","Response.RT","Direction","encoding","source","Scored"
"56d684fffc7879000c77d87f","Presented",1804,"U","Read","USM",1
"56d684fffc7879000c77d87f","Presented",2356,"U","Read","USM",0
"56d684fffc7879000c77d87f","Presented",2775,"F","Read","USM",0
"56d684fffc7879000c77d87f","Presented",2455,"M","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1713,"M","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1644,"M","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1717,"F","Read","USM",1
"56d684fffc7879000c77d87f","Presented",3380,"M","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1658,"U","Read","USM",0
"56d684fffc7879000c77d87f","Presented",2847,"F","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1802,"U","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1433,"M","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1332,"M","Read","USM",0
"56d684fffc7879000c77d87f","Presented",2530,"M","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1451,"F","Read","USM",1
"56d684fffc7879000c77d87f","Presented",3127,"F","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1996,"F","Read","USM",0
"56d684fffc7879000c77d87f","Presented",3008,"U","Read","USM",1
"56d684fffc7879000c77d87f","Presented",2348,"U","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1599,"M","Read","USM",1
"56d684fffc7879000c77d87f","Presented",2721,"F","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1902,"F","Read","USM",0
"56d684fffc7879000c77d87f","Presented",8449,"M","Read","USM",1
"56d684fffc7879000c77d87f","Presented",5435,"U","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1896,"F","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1836,"U","Read","USM",1
"56d684fffc7879000c77d87f","Presented",3051,"F","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1612,"U","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1627,"F","Read","USM",1
"56d684fffc7879000c77d87f","Presented",2071,"U","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1766,"U","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1434,"M","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1506,"F","Read","USM",1
"56d684fffc7879000c77d87f","Presented",2021,"M","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1953,"U","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1778,"F","Read","USM",0
"56d684fffc7879000c77d87f","Presented",4735,"U","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1529,"M","Read","USM",1
"56d684fffc7879000c77d87f","Presented",7559,"F","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1727,"U","Read","USM",0
"56d684fffc7879000c77d87f","Presented",2400,"M","Read","USM",0
"56d684fffc7879000c77d87f","Presented",1974,"M","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1704,"U","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1455,"F","Read","USM",1
"56d684fffc7879000c77d87f","Presented",1695,"M","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",2317,"U","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",2633,"U","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1748,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1595,"M","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1767,"M","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",2539,"M","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1664,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1787,"M","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1511,"U","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1945,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1565,"U","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1731,"M","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",2428,"M","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",2517,"M","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1702,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1950,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",4768,"F","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1554,"U","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1900,"U","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",2145,"M","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1526,"F","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1531,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",3165,"M","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",3307,"U","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",5119,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",8159,"U","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",2209,"F","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1821,"U","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1646,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1412,"U","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1681,"U","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1933,"M","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1556,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",2083,"M","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1610,"U","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1821,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1672,"U","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1491,"M","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1587,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1868,"U","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",3825,"M","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1880,"M","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1848,"U","Read","USM",0
"5734b743d0f8fe10e4e4415d","Presented",1622,"F","Read","USM",1
"5734b743d0f8fe10e4e4415d","Presented",1507,"M","Read","USM",0
"57b28526f6b9390001af1edd","Presented",2062,"U","Read","USM",0
