"Username","control","Response.RT","Direction","source","encoding","Scored"
"545d347afdf99b7f9fca22c7","Control",4256,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1593,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1641,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1666,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1340,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1645,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1516,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1843,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",2404,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1872,"not presented","Prolific","Read",1
"545d347afdf99b7f9fca22c7","Control",1389,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1339,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1659,"not presented","Prolific","Read",1
"545d347afdf99b7f9fca22c7","Control",1210,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1655,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1692,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1523,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1590,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",8783,"not presented","Prolific","Read",1
"545d347afdf99b7f9fca22c7","Control",1388,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1434,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1282,"not presented","Prolific","Read",1
"545d347afdf99b7f9fca22c7","Control",1277,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1384,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",2324,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",2080,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1685,"not presented","Prolific","Read",1
"545d347afdf99b7f9fca22c7","Control",1635,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1969,"not presented","Prolific","Read",0
"545d347afdf99b7f9fca22c7","Control",1274,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",4672,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",2050,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",3579,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",3215,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",2404,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",2471,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",2778,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",1797,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",2014,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",2008,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",2077,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",1960,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",1975,"not presented","Prolific","Read",1
