"Username","control","Response.RT","Direction","encoding","source","Scored"
"AaliyahMorton","Control",4308,"not presented","JOL","USM",0
"AaliyahMorton","Control",2602,"not presented","JOL","USM",0
"AaliyahMorton","Control",3330,"not presented","JOL","USM",0
"AaliyahMorton","Control",2541,"not presented","JOL","USM",0
"AaliyahMorton","Control",2771,"not presented","JOL","USM",0
"AaliyahMorton","Control",2471,"not presented","JOL","USM",0
"AaliyahMorton","Control",2388,"not presented","JOL","USM",1
"AaliyahMorton","Control",2461,"not presented","JOL","USM",0
"AaliyahMorton","Control",2916,"not presented","JOL","USM",0
"AaliyahMorton","Control",2627,"not presented","JOL","USM",0
"AaliyahMorton","Control",2118,"not presented","JOL","USM",0
"AaliyahMorton","Control",2836,"not presented","JOL","USM",0
"AaliyahMorton","Control",2460,"not presented","JOL","USM",0
"AaliyahMorton","Control",2796,"not presented","JOL","USM",0
"AaliyahMorton","Control",2149,"not presented","JOL","USM",0
"AaliyahMorton","Control",2146,"not presented","JOL","USM",0
"AaliyahMorton","Control",2158,"not presented","JOL","USM",0
"AaliyahMorton","Control",2940,"not presented","JOL","USM",0
"AaliyahMorton","Control",3332,"not presented","JOL","USM",0
"AaliyahMorton","Control",2461,"not presented","JOL","USM",1
"AaliyahMorton","Control",2854,"not presented","JOL","USM",0
"AaliyahMorton","Control",3554,"not presented","JOL","USM",0
"AaliyahMorton","Control",2079,"not presented","JOL","USM",0
"AaliyahMorton","Control",2546,"not presented","JOL","USM",0
"AaliyahMorton","Control",2032,"not presented","JOL","USM",0
"AaliyahMorton","Control",2318,"not presented","JOL","USM",0
"AaliyahMorton","Control",2168,"not presented","JOL","USM",0
"AaliyahMorton","Control",2165,"not presented","JOL","USM",0
"AaliyahMorton","Control",4273,"not presented","JOL","USM",0
"AaliyahMorton","Control",2925,"not presented","JOL","USM",0
"AaliyahMorton","Control",2372,"not presented","JOL","USM",0
"AaliyahMorton","Control",2403,"not presented","JOL","USM",0
"AaliyahMorton","Control",2486,"not presented","JOL","USM",0
"AaliyahMorton","Control",2068,"not presented","JOL","USM",0
"AaliyahMorton","Control",2075,"not presented","JOL","USM",0
"AaliyahMorton","Control",2570,"not presented","JOL","USM",0
"AaliyahMorton","Control",2331,"not presented","JOL","USM",0
"AaliyahMorton","Control",1953,"not presented","JOL","USM",1
"AaliyahMorton","Control",3194,"not presented","JOL","USM",0
"AaliyahMorton","Control",2168,"not presented","JOL","USM",0
"AaliyahMorton","Control",2412,"not presented","JOL","USM",0
"AaliyahMorton","Control",4871,"not presented","JOL","USM",0
"AaliyahMorton","Control",2480,"not presented","JOL","USM",0
"AaliyahMorton","Control",1958,"not presented","JOL","USM",0
"AaliyahMorton","Control",2791,"not presented","JOL","USM",0
"AbigayleQuinley","Control",3992,"not presented","Read","USM",0
"AbigayleQuinley","Control",2344,"not presented","Read","USM",0
"AbigayleQuinley","Control",3262,"not presented","Read","USM",0
"AbigayleQuinley","Control",2559,"not presented","Read","USM",0
"AbigayleQuinley","Control",2419,"not presented","Read","USM",0
"AbigayleQuinley","Control",2676,"not presented","Read","USM",0
"AbigayleQuinley","Control",3949,"not presented","Read","USM",1
"AbigayleQuinley","Control",1989,"not presented","Read","USM",1
"AbigayleQuinley","Control",2351,"not presented","Read","USM",0
"AbigayleQuinley","Control",4957,"not presented","Read","USM",1
"AbigayleQuinley","Control",3513,"not presented","Read","USM",0
"AbigayleQuinley","Control",2853,"not presented","Read","USM",0
"AbigayleQuinley","Control",2548,"not presented","Read","USM",0
"AbigayleQuinley","Control",2913,"not presented","Read","USM",0
"AbigayleQuinley","Control",2490,"not presented","Read","USM",0
"AbigayleQuinley","Control",3246,"not presented","Read","USM",1
"AbigayleQuinley","Control",2485,"not presented","Read","USM",0
"AbigayleQuinley","Control",2519,"not presented","Read","USM",0
"AbigayleQuinley","Control",3573,"not presented","Read","USM",0
"AbigayleQuinley","Control",2818,"not presented","Read","USM",0
"AbigayleQuinley","Control",2127,"not presented","Read","USM",0
"AbigayleQuinley","Control",2478,"not presented","Read","USM",0
"AbigayleQuinley","Control",4747,"not presented","Read","USM",0
"AbigayleQuinley","Control",2033,"not presented","Read","USM",1
"AbigayleQuinley","Control",2197,"not presented","Read","USM",0
"AbigayleQuinley","Control",2369,"not presented","Read","USM",0
"AbigayleQuinley","Control",3026,"not presented","Read","USM",1
"AbigayleQuinley","Control",2713,"not presented","Read","USM",0
