Cue,Answer,Shuffle,Stimuli Notes,Value
TREES,GREEN,BUFFER1,Buffer,1
PITCHER,CATCHER,BUFFER1,Buffer,2
PEANUT,BUTTER,BUFFER1,Buffer,3
SCARE,FRIGHT,BUFFER1,Buffer,4
SPACE,JAM,BUFFER1,Buffer,5
LITTER,TRASH,Study1,F,6
WAGE,MONEY,Study1,F,7
SCALP,HEAD,Study1,F,8
HORSE,COW,Study1,F,9
ROOT,PLANT,Study1,F,10
SWAN,BIRD,Study1,F,11
WORD,SENTENCE,Study1,F,12
HYGIENE,CLEAN,Study1,F,13
NAP,SLEEP,Study1,F,14
MULE,DONKEY,Study1,F,15
AFFECTION,LOVE,Study1,F,16
SIP,DRINK,Study1,F,17
CREDIT,CARD,Study1,F,18
ORCHID,FLOWER,Study1,F,19
TUNA,FISH,Study1,F,20
MIRROR,MAROON                   ,Study1,U,21
STRETCH,CLOTH,Study1,U,22
GIVE,STEAK,Study1,U,23
CRACKLE,ELECTION,Study1,U,24
VEHICLE,CHARM,Study1,U,25
MEAT,KEYS,Study1,U,26
MAZE,PHONE,Study1,U,27
SHELL,SHAKE,Study1,U,28
LISTEN,FICTION,Study1,U,29
KEYS,ROD,Study1,U,30
SOON,BELT,Study1,U,31
SIGN,TICK,Study1,U,32
TEMPERATURE,MORNING,Study1,U,33
CAKE,HAND,Study1,U,34
FUZZY,BANG,Study1,U,35
GEESE,GOOSE,BUFFER2,Buffer,36
SHERRIF,POLICE,BUFFER2,Buffer,37
MALT,CHOCOLATE,BUFFER2,Buffer,38
MOON,SPACE,BUFFER2,Buffer,39
THING,STUFF,BUFFER2,Buffer,40
 ,PLANT,RECOG,CONTROL,41
 ,CUT,RECOG,CONTROL,42
 ,HAMMER,RECOG,CONTROL,43
 ,CLOTHES,RECOG,CONTROL,44
 ,RED,RECOG,CONTROL,45
 ,FIRE,RECOG,CONTROL,46
 ,PAPER,RECOG,CONTROL,47
 ,SMELL,RECOG,CONTROL,48
 ,BASEBALL,RECOG,CONTROL,49
 ,STING,RECOG,CONTROL,50
 ,FIGHT,RECOG,CONTROL,51
 ,COLD,RECOG,CONTROL,52
 ,COW,RECOG,CONTROL,53
 ,BUG,RECOG,CONTROL,54
 ,WATER,RECOG,CONTROL,55
 ,VASE                     ,RECOG,CONTROL,56
 ,CAR,RECOG,CONTROL,57
 ,WOLF,RECOG,CONTROL,58
 ,ACCIDENT,RECOG,CONTROL,59
 ,RIDDLE,RECOG,CONTROL,60
 ,CLUTTER                  ,RECOG,CONTROL,61
 ,SACK,RECOG,CONTROL,62
 ,HORN,RECOG,CONTROL,63
 ,BUSINESS,RECOG,CONTROL,64
 ,HIDE                     ,RECOG,CONTROL,65
 ,TOIL                     ,RECOG,CONTROL,66
 ,OUNCE                    ,RECOG,CONTROL,67
 ,BRONZE                   ,RECOG,CONTROL,68
 ,CHILDREN,RECOG,CONTROL,69
 ,LEG,RECOG,CONTROL,70
 ,TRASH,RECOG,Presented,71
 ,MONEY,RECOG,Presented,72
 ,HEAD,RECOG,Presented,73
 ,DONKEY,RECOG,Presented,74
 ,PLANT,RECOG,Presented,75
 ,BIRD,RECOG,Presented,76
 ,SENTENCE,RECOG,Presented,77
 ,CLEAN,RECOG,Presented,78
 ,SLEEP,RECOG,Presented,79
 ,COW,RECOG,Presented,80
 ,LOVE,RECOG,Presented,81
 ,DRINK,RECOG,Presented,82
 ,CARD,RECOG,Presented,83
 ,FLOWER,RECOG,Presented,84
 ,FISH,RECOG,Presented,85
 ,MAROON                   ,RECOG,Presented,86
 ,CLOTH,RECOG,Presented,87
 ,STEAK,RECOG,Presented,88
 ,ELECTION,RECOG,Presented,89
 ,CHARM,RECOG,Presented,90
 ,KEYS,RECOG,Presented,91
 ,PHONE,RECOG,Presented,92
 ,SHAKE,RECOG,Presented,93
 ,FICTION,RECOG,Presented,94
 ,ROD,RECOG,Presented,95
 ,BELT,RECOG,Presented,96
 ,TICK,RECOG,Presented,97
 ,MORNING,RECOG,Presented,98
 ,HAND,RECOG,Presented,99
 ,BANG,RECOG,Presented,100
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
