"Username","control","Response.RT","Direction","source","Scored","encoding"
"545d347afdf99b7f9fca22c7","Presented",1301,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",2661,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1112,"U","Prolific",0,"Read"
"545d347afdf99b7f9fca22c7","Presented",1523,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1290,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",2558,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1419,"U","Prolific",0,"Read"
"545d347afdf99b7f9fca22c7","Presented",1710,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1369,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1287,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1241,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1215,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1184,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1768,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",2263,"F","Prolific",0,"Read"
"545d347afdf99b7f9fca22c7","Presented",1653,"U","Prolific",0,"Read"
"545d347afdf99b7f9fca22c7","Presented",2964,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1657,"U","Prolific",0,"Read"
"545d347afdf99b7f9fca22c7","Presented",1330,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1318,"F","Prolific",0,"Read"
"545d347afdf99b7f9fca22c7","Presented",1812,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1655,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1521,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1169,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1701,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1406,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1406,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1178,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1329,"F","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Presented",1712,"U","Prolific",1,"Read"
"545d347afdf99b7f9fca22c7","Control",4256,"not presented","Prolific",1,"Read"
