"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.JOL","Procedure.Shuffle.1","Response.RT"
"565c6791c121fe0012fc3caf","love","love",2,"JOL","affection","Study1","F","Study Phase",20,"Recall1",2884
"58ed7f5aac62dc00019366a9","","love",2,"JOL","affection","Study1","F","Study Phase",98,"Recall1",693
"5c0dbb9b9166290001253342","love","love",2,"JOL","affection","Study1","F","Study Phase",90,"Recall1",4590
"5dd0749782569a156ed4f658","love","love",2,"JOL","affection","Study1","F","Study Phase",85,"Recall1",2149
"5e0a434b8676812de85037c3","love","love",2,"JOL","affection","Study1","F","Study Phase",60,"Recall1",1780
"62029a55ef1cb18a1337c61a","love","love",2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",1607
"62d43cee3d60ac98c1dcacc8","caring","love",2,"JOL","affection","Study1","F","Study Phase",75,"Recall1",3429
"63a68daa57320319534db166","love","love",2,"JOL","affection","Study1","F","Study Phase",80,"Recall1",7004
"63d87d58ddc4d930bbc9568e","love","love",2,"JOL","affection","Study1","F","Study Phase",45,"Recall1",6181
"565c6791c121fe0012fc3caf","","bounce",2,"JOL","bat","Study1","M","Study Phase",5,"Recall1",3323
"58ed7f5aac62dc00019366a9","ball","bounce",2,"JOL","bat","Study1","M","Study Phase",1,"Recall1",5785
"5c0dbb9b9166290001253342","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",0,"Recall1",7672
"5dd0749782569a156ed4f658","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",22,"Recall1",3401
"5e0a434b8676812de85037c3","ball","bounce",2,"JOL","bat","Study1","M","Study Phase",25,"Recall1",1732
"62029a55ef1cb18a1337c61a","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",0,"Recall1",1867
"62d43cee3d60ac98c1dcacc8","round","bounce",2,"JOL","bat","Study1","M","Study Phase",4,"Recall1",3122
"63a68daa57320319534db166","bounce","bounce",2,"JOL","bat","Study1","M","Study Phase",40,"Recall1",9964
"63d87d58ddc4d930bbc9568e","boulder","bounce",2,"JOL","bat","Study1","M","Study Phase",3,"Recall1",5817
"565c6791c121fe0012fc3caf","ball","box",2,"JOL","beach","Study1","M","Study Phase",5,"Recall1",2620
"58ed7f5aac62dc00019366a9","ball","box",2,"JOL","beach","Study1","M","Study Phase",25,"Recall1",3208
"5c0dbb9b9166290001253342","","box",2,"JOL","beach","Study1","M","Study Phase",0,"Recall1",7284
"5dd0749782569a156ed4f658","","box",2,"JOL","beach","Study1","M","Study Phase",10,"Recall1",2188
"5e0a434b8676812de85037c3","ball","box",2,"JOL","beach","Study1","M","Study Phase",50,"Recall1",2230
"62029a55ef1cb18a1337c61a","","box",2,"JOL","beach","Study1","M","Study Phase",0,"Recall1",5154
"62d43cee3d60ac98c1dcacc8","sunny","box",2,"JOL","beach","Study1","M","Study Phase",4,"Recall1",2502
"63a68daa57320319534db166","day","box",2,"JOL","beach","Study1","M","Study Phase",40,"Recall1",19587
"63d87d58ddc4d930bbc9568e","","box",2,"JOL","beach","Study1","M","Study Phase",12,"Recall1",1393
"565c6791c121fe0012fc3caf","card","pie",2,"JOL","birthday","Study1","M","Study Phase",20,"Recall1",4943
"58ed7f5aac62dc00019366a9","cake","pie",2,"JOL","birthday","Study1","M","Study Phase",1,"Recall1",2773
"5c0dbb9b9166290001253342","","pie",2,"JOL","birthday","Study1","M","Study Phase",50,"Recall1",2707
"5dd0749782569a156ed4f658","pie","pie",2,"JOL","birthday","Study1","M","Study Phase",20,"Recall1",1742
"5e0a434b8676812de85037c3","balloons","pie",2,"JOL","birthday","Study1","M","Study Phase",40,"Recall1",5786
"62029a55ef1cb18a1337c61a","pie","pie",2,"JOL","birthday","Study1","M","Study Phase",60,"Recall1",1583
"62d43cee3d60ac98c1dcacc8","cake","pie",2,"JOL","birthday","Study1","M","Study Phase",15,"Recall1",2482
"63a68daa57320319534db166","pie","pie",2,"JOL","birthday","Study1","M","Study Phase",73,"Recall1",4163
"63d87d58ddc4d930bbc9568e","pie","pie",2,"JOL","birthday","Study1","M","Study Phase",50,"Recall1",2925
"565c6791c121fe0012fc3caf","","hand",2,"JOL","cake","Study1","U","Study Phase",0,"Recall1",7007
"58ed7f5aac62dc00019366a9","","hand",2,"JOL","cake","Study1","U","Study Phase",8,"Recall1",4185
"5c0dbb9b9166290001253342","","hand",2,"JOL","cake","Study1","U","Study Phase",0,"Recall1",9703
