Prime,Target,Direction,Presented,Target_Type
Circle,Dance,M,Y,Word
Horse,Wheel,M,Y,Word
Ceiling,Carpet,M,Y,Word
Cry,Bottle,M,Y,Word
Wedding,Finger,M,Y,Word
Day,Dark,M,Y,Word
Tooth,Hair,M,Y,Word
Hard,Cotton,M,Y,Word
Nap,Sleep,F,Y,Word
Chili,Hot,F,Y,Word
Affection,Love,F,Y,Word
Sip,Drink,F,Y,Word
Credit,Card,F,Y,Word
Orchid,Flower,F,Y,Word
Tuna,Fish,F,Y,Word
Listen,Fiction,U,Y,Word
Keys,Rod,U,Y,Word
Soon,Belt,U,Y,Word
Sign,Tick,U,Y,Word
Temperature,Morning,U,Y,Word
Cake,Hand,U,Y,Word
Fuzzy,Bang,U,Y,Word
Horse,Tren,M,Y,Non-Word
Ceiling,Uden,M,Y,Non-Word
Cry,Vessey,M,Y,Non-Word
Wedding,Criek,M,Y,Non-Word
Day,Gandow,M,Y,Non-Word
Tooth,Pozor,M,Y,Non-Word
Hard,Bactos,M,Y,Non-Word
Hygiene,Shilk,F,Y,Non-Word
Nap,Hurtet,F,Y,Non-Word
Chili,Leenst,F,Y,Non-Word
Affection,Hern,F,Y,Non-Word
Sip,Wairk,F,Y,Non-Word
Credit,Kint,F,Y,Non-Word
Orchid,Tauly,F,Y,Non-Word
Tuna,Adiy,F,Y,Non-Word
Shell,Leals,U,Y,Non-Word
Listen,Bort,U,Y,Non-Word
Keys,Inkory,U,Y,Non-Word
Soon,Cank,U,Y,Non-Word
Sign,Grarp,U,Y,Non-Word
Temperature,Flist,U,Y,Non-Word
Cake,Centily,U,Y,Non-Word
Fuzzy,Lintolume,U,Y,Non-Word
Rake ,Seed,M,N,Word
Trap,Cave,M,N,Word
Oven,Basket,M,N,Word
Grill,Thigh,M,N,Word
Valley,Peak,M,N,Word
Window,Knob,M,N,Word
Razor,Muscle,M,N,Word
Incense,Smell,F,N,Word
League,Baseball,F,N,Word
Hornet,Sting,F,N,Word
Feud,Fight,F,N,Word
Chill,Cold,F,N,Word
Herd,Cow,F,N,Word
Wasp,Bug,F,N,Word
Bridge,Water,F,N,Word
Bench,Horn,U,N,Word
Death,Business,U,N,Word
Sick,Hide,U,N,Word
Lease,Toil,U,N,Word
Both,Ounce,U,N,Word
Artery                   ,Bronze                   ,U,N,Word
Mirror,Children,U,N,Word
Cash,Leg,U,N,Word
Heavy,Cebtle,M,N,Non-Word
Rake ,Hoins,M,N,Non-Word
Trap,Caesin,M,N,Non-Word
Oven,Cleek,M,N,Non-Word
Grill,Woicing,M,N,Non-Word
Valley,Duy,M,N,Non-Word
Window,Touth,M,N,Non-Word
Razor,Hawn,M,N,Non-Word
League,Lobbit,F,N,Non-Word
Hornet,Sholi,F,N,Non-Word
Feud,Agention,F,N,Non-Word
Chill,Mip,F,N,Non-Word
Herd,Brudit,F,N,Non-Word
Wasp,Ulchid,F,N,Non-Word
Bridge,Lenar,F,N,Non-Word
Death,Fosten,U,N,Non-Word
Sick,Kepes,U,N,Non-Word
Lease,Toonk,U,N,Non-Word
Both,Sinx,U,N,Non-Word
Artery                   ,Vinger,U,N,Non-Word
Mirror,Dite,U,N,Non-Word
Cash,Turvo,U,N,Non-Word
