Cue,Answer,Shuffle,Stimuli Notes,Value
TREES,GREEN,BUFFER1,Buffer,1
PITCHER,CATCHER,BUFFER1,Buffer,2
PEANUT,BUTTER,BUFFER1,Buffer,3
SCARE,FRIGHT,BUFFER1,Buffer,4
SPACE,JAM,BUFFER1,Buffer,5
LION,STRIPES,Study1,M,6
BEACH,BOX,Study1,M,7
WAR,QUIET,Study1,M,8
BIRTHDAY,PIE,Study1,M,9
ROUGH,SILK,Study1,M,10
TREE,SYRUP,Study1,M,11
BAT,BOUNCE,Study1,M,12
CIRCLE,DANCE,Study1,M,13
HORSE,WHEEL,Study1,M,14
CEILING,CARPET,Study1,M,15
CRY,BOTTLE,Study1,M,16
WEDDING,FINGER,Study1,M,17
DAY,DARK,Study1,M,18
TOOTH,HAIR,Study1,M,19
HARD,COTTON,Study1,M,20
LITTER,TRASH,Study1,F,21
WAGE,MONEY,Study1,F,22
SCALP,HEAD,Study1,F,23
MULE,DONKEY,Study1,F,24
ROOT,PLANT,Study1,F,25
SWAN,BIRD,Study1,F,26
WORD,SENTENCE,Study1,F,27
HYGIENE,CLEAN,Study1,F,28
NAP,SLEEP,Study1,F,29
MULE,DONKEY,Study1,F,30
AFFECTION,LOVE,Study1,F,31
SIP,DRINK,Study1,F,32
CREDIT,CARD,Study1,F,33
ORCHID,FLOWER,Study1,F,34
TUNA,FISH,Study1,F,35
MIRROR,MAROON                   ,Study1,U,36
STRETCH,CLOTH,Study1,U,37
GIVE,STEAK,Study1,U,38
CRACKLE,ELECTION,Study1,U,39
VEHICLE,CHARM,Study1,U,40
MEAT,KEYS,Study1,U,41
MAZE,PHONE,Study1,U,42
SHELL,SHAKE,Study1,U,43
LISTEN,FICTION,Study1,U,44
KEYS,ROD,Study1,U,45
SOON,BELT,Study1,U,46
SIGN,TICK,Study1,U,47
TEMPERATURE,MORNING,Study1,U,48
CAKE,HAND,Study1,U,49
FUZZY,BANG,Study1,U,50
GEESE,GOOSE,BUFFER2,Buffer,51
SHERRIF,POLICE,BUFFER2,Buffer,52
MALT,CHOCOLATE,BUFFER2,Buffer,53
MOON,SPACE,BUFFER2,Buffer,54
THING,STUFF,BUFFER2,Buffer,55
,SNOW,RECOG,CONTROL,57
,STOP,RECOG,CONTROL,58
,COLLAR,RECOG,CONTROL,59
,ISLAND,RECOG,CONTROL,60
,SMELL,RECOG,CONTROL,61
,LAWYER,RECOG,CONTROL,62
,DRINK,RECOG,CONTROL,63
,FEATHER,RECOG,CONTROL,64
,SEED,RECOG,CONTROL,65
,CAVE,RECOG,CONTROL,66
,BASKET,RECOG,CONTROL,67
,THIGH,RECOG,CONTROL,68
,PEAK,RECOG,CONTROL,69
,KNOB,RECOG,CONTROL,70
,MUSCLE,RECOG,CONTROL,71
,PLANT,RECOG,CONTROL,72
,CUT,RECOG,CONTROL,73
,HAMMER,RECOG,CONTROL,74
,CLOTHES,RECOG,CONTROL,75
,RED,RECOG,CONTROL,76
,FIRE,RECOG,CONTROL,77
,PAPER,RECOG,CONTROL,78
,SMELL,RECOG,CONTROL,79
,BASEBALL,RECOG,CONTROL,80
,STING,RECOG,CONTROL,81
,FIGHT,RECOG,CONTROL,82
,COLD,RECOG,CONTROL,83
,COW,RECOG,CONTROL,84
,BUG,RECOG,CONTROL,85
,WATER,RECOG,CONTROL,86
,VASE                     ,RECOG,CONTROL,87
,CAR,RECOG,CONTROL,88
,WOLF,RECOG,CONTROL,89
,ACCIDENT,RECOG,CONTROL,90
,RIDDLE,RECOG,CONTROL,91
,CLUTTER                  ,RECOG,CONTROL,92
,SACK,RECOG,CONTROL,93
,HORN,RECOG,CONTROL,94
,BUSINESS,RECOG,CONTROL,95
,HIDE                     ,RECOG,CONTROL,96
,TOIL                     ,RECOG,CONTROL,97
,OUNCE                    ,RECOG,CONTROL,98
,BRONZE                   ,RECOG,CONTROL,99
,CHILDREN,RECOG,CONTROL,100
,LEG,RECOG,CONTROL,101
,STRIPES,RECOG,Presented,102
,BOX,RECOG,Presented,103
,QUIET,RECOG,Presented,104
,PIE,RECOG,Presented,105
,SILK,RECOG,Presented,106
,SYRUP,RECOG,Presented,107
,BOUNCE,RECOG,Presented,108
,DANCE,RECOG,Presented,109
,WHEEL,RECOG,Presented,110
,CARPET,RECOG,Presented,111
,BOTTLE,RECOG,Presented,112
,FINGER,RECOG,Presented,113
,DARK,RECOG,Presented,114
,HAIR,RECOG,Presented,115
,COTTON,RECOG,Presented,116
,TRASH,RECOG,Presented,117
,MONEY,RECOG,Presented,118
,HEAD,RECOG,Presented,119
,DONKEY,RECOG,Presented,120
,PLANT,RECOG,Presented,121
,BIRD,RECOG,Presented,122
,SENTENCE,RECOG,Presented,123
,CLEAN,RECOG,Presented,124
,SLEEP,RECOG,Presented,125
,DONKEY,RECOG,Presented,126
,LOVE,RECOG,Presented,127
,DRINK,RECOG,Presented,128
,CARD,RECOG,Presented,129
,FLOWER,RECOG,Presented,130
,FISH,RECOG,Presented,131
,MAROON                   ,RECOG,Presented,132
,CLOTH,RECOG,Presented,133
,STEAK,RECOG,Presented,134
,ELECTION,RECOG,Presented,135
,CHARM,RECOG,Presented,136
,KEYS,RECOG,Presented,137
,PHONE,RECOG,Presented,138
,SHAKE,RECOG,Presented,139
,FICTION,RECOG,Presented,140
,ROD,RECOG,Presented,141
,BELT,RECOG,Presented,142
,TICK,RECOG,Presented,143
,MORNING,RECOG,Presented,144
,HAND,RECOG,Presented,145
,BANG,RECOG,Presented,146
