Direction,Task,Average,Upper,Lower
F,JOL,79.94,83.03,76.85
M,JOL,38.56,43.77,33.35
U,JOL,17.39,21.28,13.5
F,Study,59,64.26,53.74
M,Study,27.89,33.18,22.6
U,Study,16.78,20.6,12.96
