"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1"
"10143815SK","love","love",1,"Read","affection","Study1","F","Study Phase",1865,"Recall1"
"BrettThompson","love","love",1,"Read Recall","affection","Study1","F","Study Phase",1949,"Recall1"
"BrookeMask","love","love",1,"Read Recall","affection","Study1","F","Study Phase",832,"Recall1"
"jasminesherman","","love",1,"Read Recall","affection","Study1","F","Study Phase",804,"Recall1"
"NicolasMunoz","","love",1,"Read Recall","affection","Study1","F","Study Phase",1397,"Recall1"
"TaravionCosey","love","love",1,"Read Recall","affection","Study1","F","Study Phase",19733,"Recall1"
"w10046339_pw","like","love",1,"Read","affection","Study1","F","Study Phase",1172,"Recall1"
"W10057641NS","","love",1,"Read","affection","Study1","F","Study Phase",196,"Recall1"
"w10062326CT","love","love",1,"Read","affection","Study1","F","Study Phase",1230,"Recall1"
"w10080028_sac","love","love",1,"Read","affection","Study1","F","Study Phase",1551,"Recall1"
"w10085225L.S","love","love",1,"Read","affection","Study1","F","Study Phase",754,"Recall1"
"w10101381_mgk","?","love",1,"Read","affection","Study1","F","Study Phase",1509,"Recall1"
"w10118390Eh","love","love",1,"Read","affection","Study1","F","Study Phase",602,"Recall1"
"w10128215_bnc","","love",1,"Read","affection","Study1","F","Study Phase",1368,"Recall1"
"w10133134_lpc","love","love",1,"Read","affection","Study1","F","Study Phase",1192,"Recall1"
"w10143398_abc","love","love",1,"Read","affection","Study1","F","Study Phase",2750,"Recall1"
"w10157282_HBR","love","love",1,"Read","affection","Study1","F","Study Phase",1165,"Recall1"
"10143815SK","","bounce",1,"Read","bat","Study1","M","Study Phase",1415,"Recall1"
"BrettThompson","bounce","bounce",1,"Read Recall","bat","Study1","M","Study Phase",2841,"Recall1"
"BrookeMask","baseball","bounce",1,"Read Recall","bat","Study1","M","Study Phase",428,"Recall1"
"jasminesherman","cave","bounce",1,"Read Recall","bat","Study1","M","Study Phase",695,"Recall1"
"NicolasMunoz","","bounce",1,"Read Recall","bat","Study1","M","Study Phase",1036,"Recall1"
"TaravionCosey","bounce ","bounce",1,"Read Recall","bat","Study1","M","Study Phase",9467,"Recall1"
"w10046339_pw","bounce","bounce",1,"Read","bat","Study1","M","Study Phase",1425,"Recall1"
"W10057641NS","","bounce",1,"Read","bat","Study1","M","Study Phase",88,"Recall1"
"w10062326CT","bounce","bounce",1,"Read","bat","Study1","M","Study Phase",1292,"Recall1"
"w10080028_sac","","bounce",1,"Read","bat","Study1","M","Study Phase",1347,"Recall1"
"w10085225L.S","call","bounce",1,"Read","bat","Study1","M","Study Phase",439,"Recall1"
"w10101381_mgk","bounce","bounce",1,"Read","bat","Study1","M","Study Phase",2114,"Recall1"
"w10118390Eh","man","bounce",1,"Read","bat","Study1","M","Study Phase",508,"Recall1"
"w10128215_bnc","balloon","bounce",1,"Read","bat","Study1","M","Study Phase",1231,"Recall1"
"w10133134_lpc","butter","bounce",1,"Read","bat","Study1","M","Study Phase",1350,"Recall1"
"w10143398_abc","bottom","bounce",1,"Read","bat","Study1","M","Study Phase",4376,"Recall1"
"w10157282_HBR","ball","bounce",1,"Read","bat","Study1","M","Study Phase",1137,"Recall1"
"10143815SK","","box",1,"Read","beach","Study1","M","Study Phase",1495,"Recall1"
"BrettThompson","sun","box",1,"Read Recall","beach","Study1","M","Study Phase",2219,"Recall1"
"BrookeMask","sand","box",1,"Read Recall","beach","Study1","M","Study Phase",1140,"Recall1"
"jasminesherman","","box",1,"Read Recall","beach","Study1","M","Study Phase",803,"Recall1"
"NicolasMunoz","","box",1,"Read Recall","beach","Study1","M","Study Phase",1064,"Recall1"
"TaravionCosey","box","box",1,"Read Recall","beach","Study1","M","Study Phase",7920,"Recall1"
"w10046339_pw","box","box",1,"Read","beach","Study1","M","Study Phase",1303,"Recall1"
"W10057641NS","","box",1,"Read","beach","Study1","M","Study Phase",223,"Recall1"
"w10062326CT","sand","box",1,"Read","beach","Study1","M","Study Phase",2136,"Recall1"
"w10080028_sac","boc","box",1,"Read","beach","Study1","M","Study Phase",1314,"Recall1"
"w10085225L.S","tan","box",1,"Read","beach","Study1","M","Study Phase",1143,"Recall1"
"w10101381_mgk","?","box",1,"Read","beach","Study1","M","Study Phase",3922,"Recall1"
"w10118390Eh","sand","box",1,"Read","beach","Study1","M","Study Phase",545,"Recall1"
"w10128215_bnc","lay","box",1,"Read","beach","Study1","M","Study Phase",1221,"Recall1"
