"Username","control","Response.RT","Direction","encoding","source","Scored"
"#M20312509BID","Presented",4724,"U","Read","MSU",1
"#M20312509BID","Presented",3941,"U","Read","MSU",0
"#M20312509BID","Presented",2299,"F","Read","MSU",0
"#M20312509BID","Presented",2701,"M","Read","MSU",1
"#M20312509BID","Presented",2389,"M","Read","MSU",1
"#M20312509BID","Presented",2813,"M","Read","MSU",0
"#M20312509BID","Presented",3239,"F","Read","MSU",0
"#M20312509BID","Presented",2852,"M","Read","MSU",1
"#M20312509BID","Presented",2371,"U","Read","MSU",1
"#M20312509BID","Presented",2104,"F","Read","MSU",1
"#M20312509BID","Presented",3318,"U","Read","MSU",0
"#M20312509BID","Presented",2802,"M","Read","MSU",0
"#M20312509BID","Presented",3116,"M","Read","MSU",1
"#M20312509BID","Presented",4062,"M","Read","MSU",0
"#M20312509BID","Presented",2945,"F","Read","MSU",1
"#M20312509BID","Presented",1846,"F","Read","MSU",1
"#M20312509BID","Presented",4600,"F","Read","MSU",0
"#M20312509BID","Presented",2126,"U","Read","MSU",1
"#M20312509BID","Presented",2159,"U","Read","MSU",1
"#M20312509BID","Presented",2506,"M","Read","MSU",0
"#M20312509BID","Presented",2210,"F","Read","MSU",1
"#M20312509BID","Presented",3622,"F","Read","MSU",0
"#M20312509BID","Presented",2895,"M","Read","MSU",1
"#M20312509BID","Presented",1679,"U","Read","MSU",1
"#M20312509BID","Presented",2200,"F","Read","MSU",1
"#M20312509BID","Presented",4227,"U","Read","MSU",0
"#M20312509BID","Presented",2347,"F","Read","MSU",0
"#M20312509BID","Presented",2498,"U","Read","MSU",0
"#M20312509BID","Presented",1899,"F","Read","MSU",0
"#M20312509BID","Presented",2837,"U","Read","MSU",0
"#M20312509BID","Presented",2381,"U","Read","MSU",0
"#M20312509BID","Presented",2825,"M","Read","MSU",1
"#M20312509BID","Presented",1946,"F","Read","MSU",1
"#M20312509BID","Presented",3264,"M","Read","MSU",1
"#M20312509BID","Presented",3218,"U","Read","MSU",0
"#M20312509BID","Presented",2273,"F","Read","MSU",0
"#M20312509BID","Presented",2742,"U","Read","MSU",1
"#M20312509BID","Presented",3944,"M","Read","MSU",1
"#M20312509BID","Presented",1667,"F","Read","MSU",1
"#M20312509BID","Presented",2325,"U","Read","MSU",0
"#M20312509BID","Presented",2473,"M","Read","MSU",1
"#M20312509BID","Presented",2035,"M","Read","MSU",1
"#M20312509BID","Presented",2199,"U","Read","MSU",1
"#M20312509BID","Presented",2042,"F","Read","MSU",1
"#M20312509BID","Presented",1651,"M","Read","MSU",1
"20310228LF","Presented",3187,"U","JOL","MSU",1
"20310228LF","Presented",2119,"F","JOL","MSU",1
"20310228LF","Presented",2978,"M","JOL","MSU",1
"20310228LF","Presented",2211,"U","JOL","MSU",1
"20310228LF","Presented",2439,"F","JOL","MSU",1
"20310228LF","Presented",3956,"U","JOL","MSU",1
"20310228LF","Presented",2949,"U","JOL","MSU",0
"20310228LF","Presented",7807,"M","JOL","MSU",1
"20310228LF","Presented",2470,"U","JOL","MSU",1
"20310228LF","Presented",2491,"F","JOL","MSU",1
"20310228LF","Presented",7034,"U","JOL","MSU",1
"20310228LF","Presented",2621,"F","JOL","MSU",1
"20310228LF","Presented",4650,"M","JOL","MSU",1
"20310228LF","Presented",2956,"F","JOL","MSU",1
"20310228LF","Presented",3919,"F","JOL","MSU",1
"20310228LF","Presented",5099,"M","JOL","MSU",0
"20310228LF","Presented",2094,"M","JOL","MSU",1
"20310228LF","Presented",8843,"F","JOL","MSU",0
"20310228LF","Presented",11147,"F","JOL","MSU",0
"20310228LF","Presented",1826,"F","JOL","MSU",1
"20310228LF","Presented",2280,"U","JOL","MSU",1
"20310228LF","Presented",2357,"U","JOL","MSU",1
"20310228LF","Presented",3530,"M","JOL","MSU",1
"20310228LF","Presented",2234,"M","JOL","MSU",1
"20310228LF","Presented",2278,"M","JOL","MSU",1
"20310228LF","Presented",4565,"U","JOL","MSU",0
"20310228LF","Presented",6389,"M","JOL","MSU",1
"20310228LF","Presented",3999,"U","JOL","MSU",0
"20310228LF","Presented",3930,"F","JOL","MSU",1
"20310228LF","Presented",2215,"M","JOL","MSU",1
"20310228LF","Presented",2745,"F","JOL","MSU",0
"20310228LF","Presented",3815,"F","JOL","MSU",1
"20310228LF","Presented",3997,"U","JOL","MSU",1
"20310228LF","Presented",2015,"U","JOL","MSU",1
"20310228LF","Presented",2832,"M","JOL","MSU",1
"20310228LF","Presented",2621,"F","JOL","MSU",1
"20310228LF","Presented",2617,"M","JOL","MSU",1
"20310228LF","Presented",13116,"M","JOL","MSU",1
"20310228LF","Presented",2235,"F","JOL","MSU",1
"20310228LF","Presented",6951,"M","JOL","MSU",1
"20310228LF","Presented",2474,"M","JOL","MSU",1
"20310228LF","Presented",5559,"U","JOL","MSU",0
"20310228LF","Presented",5876,"U","JOL","MSU",1
"20310228LF","Presented",1989,"F","JOL","MSU",0
"20310228LF","Presented",2710,"U","JOL","MSU",1
"20310228LF","Control",4162,"not presented","JOL","MSU",1
"20310228LF","Control",2836,"not presented","JOL","MSU",1
"20310228LF","Control",5116,"not presented","JOL","MSU",1
"20310228LF","Control",2050,"not presented","JOL","MSU",1
"20310228LF","Control",2286,"not presented","JOL","MSU",1
"20310228LF","Control",3810,"not presented","JOL","MSU",1
"20310228LF","Control",5976,"not presented","JOL","MSU",1
"20310228LF","Control",4361,"not presented","JOL","MSU",1
"20310228LF","Control",2193,"not presented","JOL","MSU",1
"20310228LF","Control",6030,"not presented","JOL","MSU",0
"20310228LF","Control",3431,"not presented","JOL","MSU",1
"20310228LF","Control",2304,"not presented","JOL","MSU",1
"20310228LF","Control",2275,"not presented","JOL","MSU",1
"20310228LF","Control",2393,"not presented","JOL","MSU",1
"20310228LF","Control",3228,"not presented","JOL","MSU",1
"20310228LF","Control",2236,"not presented","JOL","MSU",1
"20310228LF","Control",2614,"not presented","JOL","MSU",1
"20310228LF","Control",6823,"not presented","JOL","MSU",1
"20310228LF","Control",5934,"not presented","JOL","MSU",1
"20310228LF","Control",4293,"not presented","JOL","MSU",0
"20310228LF","Control",2208,"not presented","JOL","MSU",0
"20310228LF","Control",2617,"not presented","JOL","MSU",1
"20310228LF","Control",1936,"not presented","JOL","MSU",1
"20310228LF","Control",2345,"not presented","JOL","MSU",1
"20310228LF","Control",2613,"not presented","JOL","MSU",1
"20310228LF","Control",2620,"not presented","JOL","MSU",1
"20310228LF","Control",2009,"not presented","JOL","MSU",0
"20310228LF","Control",5555,"not presented","JOL","MSU",1
"20310228LF","Control",1942,"not presented","JOL","MSU",1
"20310228LF","Control",4548,"not presented","JOL","MSU",1
"20310228LF","Control",2615,"not presented","JOL","MSU",1
"20310228LF","Control",3894,"not presented","JOL","MSU",0
"20310228LF","Control",2612,"not presented","JOL","MSU",1
"20310228LF","Control",2318,"not presented","JOL","MSU",1
"20310228LF","Control",4501,"not presented","JOL","MSU",1
"20310228LF","Control",10455,"not presented","JOL","MSU",1
"20310228LF","Control",2189,"not presented","JOL","MSU",1
"20310228LF","Control",2094,"not presented","JOL","MSU",1
"20310228LF","Control",2135,"not presented","JOL","MSU",1
"20310228LF","Control",2210,"not presented","JOL","MSU",1
"20310228LF","Control",5469,"not presented","JOL","MSU",1
"20310228LF","Control",3048,"not presented","JOL","MSU",1
"20310228LF","Control",2436,"not presented","JOL","MSU",1
"20310228LF","Control",2100,"not presented","JOL","MSU",1
"20310228LF","Control",2614,"not presented","JOL","MSU",1
"Jadkison0505JA","Presented",2389,"U","Read","MSU",1
"Jadkison0505JA","Presented",2427,"F","Read","MSU",1
"Jadkison0505JA","Presented",2082,"M","Read","MSU",1
"Jadkison0505JA","Presented",3005,"U","Read","MSU",1
"Jadkison0505JA","Presented",2214,"F","Read","MSU",1
"Jadkison0505JA","Presented",1451,"U","Read","MSU",0
"Jadkison0505JA","Presented",3640,"U","Read","MSU",1
"Jadkison0505JA","Presented",2409,"M","Read","MSU",1
"Jadkison0505JA","Presented",1751,"U","Read","MSU",1
"Jadkison0505JA","Presented",2061,"F","Read","MSU",1
"Jadkison0505JA","Presented",2099,"U","Read","MSU",1
"Jadkison0505JA","Presented",2337,"F","Read","MSU",1
"Jadkison0505JA","Presented",2192,"M","Read","MSU",1
"Jadkison0505JA","Presented",1925,"F","Read","MSU",0
"Jadkison0505JA","Presented",2283,"F","Read","MSU",0
"Jadkison0505JA","Presented",2907,"M","Read","MSU",1
"Jadkison0505JA","Presented",2460,"M","Read","MSU",1
"Jadkison0505JA","Presented",5527,"F","Read","MSU",0
"Jadkison0505JA","Presented",2221,"F","Read","MSU",1
"Jadkison0505JA","Presented",1881,"F","Read","MSU",0
"Jadkison0505JA","Presented",2254,"U","Read","MSU",1
"Jadkison0505JA","Presented",2892,"U","Read","MSU",1
"Jadkison0505JA","Presented",2478,"M","Read","MSU",1
"Jadkison0505JA","Presented",2245,"M","Read","MSU",1
"Jadkison0505JA","Presented",2561,"M","Read","MSU",1
"Jadkison0505JA","Presented",2154,"U","Read","MSU",0
"Jadkison0505JA","Presented",2770,"M","Read","MSU",1
"Jadkison0505JA","Presented",2738,"U","Read","MSU",1
"Jadkison0505JA","Presented",1743,"F","Read","MSU",1
"Jadkison0505JA","Presented",1500,"M","Read","MSU",0
"Jadkison0505JA","Presented",2848,"F","Read","MSU",1
"Jadkison0505JA","Presented",1900,"F","Read","MSU",1
"Jadkison0505JA","Presented",1921,"U","Read","MSU",1
"Jadkison0505JA","Presented",3128,"U","Read","MSU",1
"Jadkison0505JA","Presented",2388,"M","Read","MSU",0
"Jadkison0505JA","Presented",2664,"F","Read","MSU",1
"Jadkison0505JA","Presented",2358,"M","Read","MSU",1
"Jadkison0505JA","Presented",2865,"M","Read","MSU",1
"Jadkison0505JA","Presented",2162,"F","Read","MSU",1
"Jadkison0505JA","Presented",2466,"M","Read","MSU",1
"Jadkison0505JA","Presented",2066,"M","Read","MSU",1
"Jadkison0505JA","Presented",3110,"U","Read","MSU",1
"Jadkison0505JA","Presented",1878,"U","Read","MSU",1
"Jadkison0505JA","Presented",2889,"F","Read","MSU",0
"Jadkison0505JA","Presented",1692,"U","Read","MSU",1
"Jadkison0505JA","Control",3443,"not presented","Read","MSU",1
"Jadkison0505JA","Control",3515,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2358,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2421,"not presented","Read","MSU",0
"Jadkison0505JA","Control",2306,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2245,"not presented","Read","MSU",1
"Jadkison0505JA","Control",3917,"not presented","Read","MSU",0
"Jadkison0505JA","Control",2389,"not presented","Read","MSU",0
"Jadkison0505JA","Control",1936,"not presented","Read","MSU",1
"Jadkison0505JA","Control",1849,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2525,"not presented","Read","MSU",0
"Jadkison0505JA","Control",2199,"not presented","Read","MSU",0
"Jadkison0505JA","Control",2445,"not presented","Read","MSU",1
"Jadkison0505JA","Control",3075,"not presented","Read","MSU",0
"Jadkison0505JA","Control",3065,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2523,"not presented","Read","MSU",1
"Jadkison0505JA","Control",1754,"not presented","Read","MSU",1
"Jadkison0505JA","Control",1963,"not presented","Read","MSU",0
"Jadkison0505JA","Control",2295,"not presented","Read","MSU",1
"Jadkison0505JA","Control",4580,"not presented","Read","MSU",1
"Jadkison0505JA","Control",1969,"not presented","Read","MSU",1
"Jadkison0505JA","Control",3412,"not presented","Read","MSU",1
"Jadkison0505JA","Control",1797,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2214,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2482,"not presented","Read","MSU",1
"Jadkison0505JA","Control",1971,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2566,"not presented","Read","MSU",0
"Jadkison0505JA","Control",2027,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2265,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2057,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2725,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2232,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2098,"not presented","Read","MSU",0
"Jadkison0505JA","Control",1845,"not presented","Read","MSU",0
"Jadkison0505JA","Control",2768,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2297,"not presented","Read","MSU",1
"Jadkison0505JA","Control",1875,"not presented","Read","MSU",0
"Jadkison0505JA","Control",2255,"not presented","Read","MSU",1
"Jadkison0505JA","Control",1945,"not presented","Read","MSU",0
"Jadkison0505JA","Control",2414,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2332,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2626,"not presented","Read","MSU",1
"Jadkison0505JA","Control",1754,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2290,"not presented","Read","MSU",1
"Jadkison0505JA","Control",2241,"not presented","Read","MSU",0
"M20248064mjn","Presented",3425,"U","JOL","MSU",1
"M20248064mjn","Presented",3961,"F","JOL","MSU",1
"M20248064mjn","Presented",2499,"M","JOL","MSU",1
"M20248064mjn","Presented",1879,"U","JOL","MSU",1
"M20248064mjn","Presented",2514,"F","JOL","MSU",1
"M20248064mjn","Presented",2060,"U","JOL","MSU",1
"M20248064mjn","Presented",7583,"U","JOL","MSU",0
"M20248064mjn","Presented",3789,"M","JOL","MSU",1
"M20248064mjn","Presented",1608,"U","JOL","MSU",0
"M20248064mjn","Presented",4276,"F","JOL","MSU",1
"M20248064mjn","Presented",27891,"U","JOL","MSU",0
"M20248064mjn","Presented",2555,"F","JOL","MSU",1
"M20248064mjn","Presented",1786,"M","JOL","MSU",1
"M20248064mjn","Presented",1801,"F","JOL","MSU",1
"M20248064mjn","Presented",2496,"F","JOL","MSU",1
"M20248064mjn","Presented",2075,"M","JOL","MSU",0
"M20248064mjn","Presented",2217,"M","JOL","MSU",0
"M20248064mjn","Presented",1710,"F","JOL","MSU",1
"M20248064mjn","Presented",2739,"F","JOL","MSU",1
"M20248064mjn","Presented",1827,"F","JOL","MSU",1
"M20248064mjn","Presented",9988,"U","JOL","MSU",0
"M20248064mjn","Presented",2178,"U","JOL","MSU",1
"M20248064mjn","Presented",3259,"M","JOL","MSU",1
"M20248064mjn","Presented",3394,"M","JOL","MSU",1
"M20248064mjn","Presented",3036,"M","JOL","MSU",1
"M20248064mjn","Presented",27609,"U","JOL","MSU",0
"M20248064mjn","Presented",32325,"M","JOL","MSU",0
"M20248064mjn","Presented",2330,"U","JOL","MSU",1
"M20248064mjn","Presented",1709,"F","JOL","MSU",1
"M20248064mjn","Presented",2081,"M","JOL","MSU",1
"M20248064mjn","Presented",1871,"F","JOL","MSU",1
"M20248064mjn","Presented",17802,"F","JOL","MSU",0
"M20248064mjn","Presented",2152,"U","JOL","MSU",1
"M20248064mjn","Presented",2127,"U","JOL","MSU",1
"M20248064mjn","Presented",2630,"M","JOL","MSU",1
"M20248064mjn","Presented",2387,"M","JOL","MSU",1
"M20248064mjn","Presented",1982,"F","JOL","MSU",1
"M20248064mjn","Presented",1737,"M","JOL","MSU",1
"M20248064mjn","Presented",1935,"F","JOL","MSU",1
"M20248064mjn","Presented",1704,"M","JOL","MSU",1
"M20248064mjn","Presented",2507,"M","JOL","MSU",1
"M20248064mjn","Presented",4825,"U","JOL","MSU",1
"M20248064mjn","Presented",2174,"U","JOL","MSU",1
"M20248064mjn","Presented",20135,"F","JOL","MSU",1
"M20248064mjn","Presented",2712,"U","JOL","MSU",1
"M20248064mjn","Control",27272,"not presented","JOL","MSU",1
"M20248064mjn","Control",2416,"not presented","JOL","MSU",1
"M20248064mjn","Control",1914,"not presented","JOL","MSU",1
"M20248064mjn","Control",1625,"not presented","JOL","MSU",1
"M20248064mjn","Control",2242,"not presented","JOL","MSU",1
"M20248064mjn","Control",1683,"not presented","JOL","MSU",1
"M20248064mjn","Control",2017,"not presented","JOL","MSU",1
"M20248064mjn","Control",9967,"not presented","JOL","MSU",1
"M20248064mjn","Control",1876,"not presented","JOL","MSU",1
"M20248064mjn","Control",2840,"not presented","JOL","MSU",1
"M20248064mjn","Control",1794,"not presented","JOL","MSU",1
"M20248064mjn","Control",1547,"not presented","JOL","MSU",1
"M20248064mjn","Control",1968,"not presented","JOL","MSU",1
