Cue,Answer,Shuffle,Stimuli Notes,Value
TREES,GREEN,BUFFER1,Buffer,1
PITCHER,CATCHER,BUFFER1,Buffer,2
PEANUT,BUTTER,BUFFER1,Buffer,3
SCARE,FRIGHT,BUFFER1,Buffer,4
SPACE,JAM,BUFFER1,Buffer,5
LION,STRIPES,Study1,M,6
BEACH,BOX,Study1,M,7
WAR,QUIET,Study1,M,8
BIRTHDAY,PIE,Study1,M,9
DEER,VEGETABLE,Study1,M,10
ROUGH,SILK,Study1,M,11
TREE,SYRUP,Study1,M,12
SKY,COLOR,Study1,M,13
BAT,BOUNCE,Study1,M,14
MINUTE,GLASS,Study1,M,15
KNIFE,TRIGGER,Study1,M,16
PHONE,LETTER,Study1,M,17
CIRCLE,DANCE,Study1,M,18
HORSE,WHEEL,Study1,M,19
CEILING,CARPET,Study1,M,20
CRY,BOTTLE,Study1,M,21
WEDDING,FINGER,Study1,M,22
DAY,DARK,Study1,M,23
TOOTH,HAIR,Study1,M,24
HARD,COTTON,Study1,M,25
LITTER,TRASH,Study1,F,26
DIGESTION,STOMACH,Study1,F,27
WAGE,MONEY,Study1,F,28
DETECTIVE,MYSTERY,Study1,F,29
SCALP,HEAD,Study1,F,30
SHEARS,SCISSORS,Study1,F,31
MULE,DONKEY,Study1,F,32
ROOT,PLANT,Study1,F,33
SWAN,BIRD,Study1,F,34
PAW,DOG,Study1,F,35
WORD,SENTENCE,Study1,F,36
HYGIENE,CLEAN,Study1,F,37
SHOELACE,TIE,Study1,F,38
NAP,SLEEP,Study1,F,39
MULE,DONKEY,Study1,F,40
CHOP,CUT,Study1,F,41
HERD,COW,Study1,F,42
CREDIT,CARD,Study1,F,43
ORCHID,FLOWER,Study1,F,44
TUNA,FISH,Study1,F,45
MIRROR,MAROON                   ,Study1,U,46
STRETCH,CLOTH,Study1,U,47
GIVE,STEAK,Study1,U,48
CRACKLE,ELECTION,Study1,U,49
VEHICLE,CHARM,Study1,U,50
MEAT,KEYS,Study1,U,51
MAZE,PHONE,Study1,U,52
SHELL,SHAKE,Study1,U,53
LISTEN,FICTION,Study1,U,54
KEYS,ROD,Study1,U,55
PARK,HUNGRY,Study1,U,56
SIGHT,WOMAN,Study1,U,57
SOON,BELT,Study1,U,58
DISCOVER,FLOOR,Study1,U,59
DEATH,BUSINESS,Study1,U,60
SIGN,TICK,Study1,U,61
ARTERY                   ,BRONZE                   ,Study1,U,62
CAKE,HAND,Study1,U,63
MACHINE,POSITION,Study1,U,64
CASH,LEG,Study1,U,65
GEESE,GOOSE,BUFFER2,Buffer,66
SHERRIF,POLICE,BUFFER2,Buffer,67
MALT,CHOCOLATE,BUFFER2,Buffer,68
MOON,SPACE,BUFFER2,Buffer,69
THING,STUFF,BUFFER2,Buffer,70
